"ciudad","fecha","pp","ant_log","ant_op","prob","prob_corte","evento_log","Iop","umbral_op","evento_op"
"15256",2026-09-02,1.1,6.7,14.7,0.002,0.002,1,15.8,4.7,1
"15257",2026-09-02,1.4,3,13,0.002,0.002,1,14.4,6.8,1
"15258",2026-09-02,1.6,3,3,0.002,0.002,1,4.6,3.3,1
"15259",2026-09-02,1.3,3.4,17.2,0.002,0.002,1,18.5,292.5,0
"15260",2026-09-02,1.2,4,21.7,0.002,0.002,1,22.9,382.5,0
"15261",2026-09-02,1.1,4.1,23.3,0.002,0.002,1,24.4,476.8,0
"15262",2026-09-02,1,4.3,10.1,0.002,0.156,0,11,499.5,0
"15263",2026-09-02,1.2,3.5,17.8,0.001,0.023,0,19,696.8,0
"15264",2026-09-02,1.2,7.6,9.3,0.001,0.029,0,10.5,535.2,0
"15266",2026-09-02,0.5,16.1,16.1,0.001,0.008,0,16.6,111.5,0
"15267",2026-09-02,0.1,0.2,0.2,0.001,0.704,0,0.3,27.2,0
"15268",2026-09-02,0.1,0.1,0.1,0,0.047,0,0.2,29.9,0
"15269",2026-09-02,0,0,0.4,0.001,0.856,0,0.4,65.9,0
"15270",2026-09-02,0,1.8,0,0.002,0.058,0,0.1,52.5,0
"15271",2026-09-02,0,4.5,0,0.002,0.038,0,0,56.2,0
"15272",2026-09-02,0,4.1,0.1,0.004,0.189,0,0.1,78.8,0
"15273",2026-09-02,0,0,0,0.002,0.418,0,0.1,36.1,0
"15274",2026-09-02,0.1,0.1,0.1,0.002,0.634,0,0.1,38,0
"15275",2026-09-02,0.1,0.1,0.1,0.002,0.664,0,0.1,53.4,0
"15276",2026-09-02,0.1,0.1,0.1,0.002,0.533,0,0.2,62.1,0
"15277",2026-09-02,0.1,6,0.3,0.001,0.004,0,0.4,0.2,1
"15278",2026-09-02,0,0.2,8.7,0.001,0.03,0,8.7,7.1,1
"15279",2026-09-02,0,0.1,6.1,0.001,0.018,0,6.2,6.3,0
"1528",2026-09-02,0.1,0.1,0.1,0,0.003,0,0.2,61.4,0
"1529",2026-09-02,0.1,0.1,0.1,0.002,0.107,0,0.2,80.3,0
"1530",2026-09-02,0,0,0,0.002,0.591,0,0,177.3,0
"1531",2026-09-02,0.1,0.1,0.1,0.001,0.138,0,0.1,145.1,0
"1532",2026-09-02,0.1,0.2,0.1,0.004,0.323,0,0.2,246.2,0
"1536",2026-09-02,0,0.1,0.1,0,0.065,0,0.1,346.4,0
"1537",2026-09-02,0,0.1,0.1,0,0.239,0,0.1,332.2,0
"1538",2026-09-02,0,0.1,0.2,0.002,0.015,0,0.2,246.8,0
"1539",2026-09-02,0,0.2,0,0.01,0.941,0,0,119.7,0
"15391",2026-09-02,3.7,10.5,23.3,0.003,0.135,0,27,3.1,1
"15392",2026-09-02,3.2,14.4,64.1,0.003,0.217,0,67.4,8.6,1
"15393",2026-09-02,3.8,10.1,101.3,0.003,0.203,0,105.2,5.4,1
"1540",2026-09-02,0,0.2,0.1,0.013,0.966,0,0.1,141.9,0
"15407",2026-09-02,2.5,1.5,1.5,0.005,0.005,1,4,1.6,1
"15408",2026-09-02,3.3,1.7,1.7,0.005,0.005,1,5,2.4,1
"15409",2026-09-02,2.2,1.1,1.1,0.006,0.007,0,3.3,2.8,1
"1541",2026-09-02,0,0.1,0,0.006,0.756,0,0.1,113,0
"15410",2026-09-02,2,1.1,1.1,0.007,0.008,0,3,2.8,1
"15411",2026-09-02,3,1.8,1.8,0.009,0.009,0,4.7,3,1
"15414",2026-09-02,3.8,2.6,2.6,0.006,0.005,1,6.4,2.1,1
"1542",2026-09-02,0,0,NA,0.017,NA,NA,NA,NA,NA
"1543",2026-09-02,0,0,NA,0.017,NA,NA,NA,NA,NA
"1544",2026-09-02,0,0,0,0.003,0.384,0,0,319.3,0
"1546",2026-09-02,0,0.1,0.1,0,0.029,0,0.1,325.5,0
"15467",2026-09-02,1.3,6.1,3,0.001,0.036,0,4.2,125.5,0
"15468",2026-09-02,1.6,3.1,13,0.002,0.002,1,14.6,7.2,1
"15469",2026-09-02,1.4,6.8,6.8,0.001,0.001,1,8.1,5.6,1
"15470",2026-09-02,1.1,3.2,16.3,0.002,0.002,1,17.4,11.8,1
"15471",2026-09-02,0.9,3.1,3.1,0.002,0.002,1,4,4.4,0
"15472",2026-09-02,0.7,3,17.5,0.002,0.168,0,18.1,405.2,0
"15473",2026-09-02,0.9,2.4,3.9,0.002,0.025,0,4.8,271.3,0
"15478",2026-09-02,0.1,0.1,0.3,0.001,0.319,0,0.3,57.4,0
"15479",2026-09-02,0,0.1,0.6,0,0.789,0,0.7,47.4,0
"1548",2026-09-02,0,0.1,0,0.001,0.002,0,0,7.9,0
"15480",2026-09-02,0.1,0,0.9,0.004,0.01,0,0.9,66.8,0
"15481",2026-09-02,0.1,0,1.7,0.004,0.012,0,1.7,78.8,0
"15482",2026-09-02,0.1,0.1,0.1,0.002,0.105,0,0.2,48.3,0
"15483",2026-09-02,0.1,0.1,0.1,0.003,0.216,0,0.1,29.5,0
"15484",2026-09-02,0.1,0.1,0.1,0.002,0.232,0,0.1,27.1,0
"15485",2026-09-02,0,0,0,0.002,0.129,0,0.1,27.9,0
"15486",2026-09-02,0,0,0.1,0.002,0.153,0,0.1,56.4,0
"15487",2026-09-02,0,0.1,3.5,0.001,0.003,0,3.6,0.7,1
"15488",2026-09-02,0,5.6,0,0.001,0.006,0,0,22.5,0
"15489",2026-09-02,0,0,5.1,0.001,0.028,0,5.1,5.5,0
"15490",2026-09-02,0,0,0.2,0.001,0.024,0,0.2,11.5,0
"15602",2026-09-02,3.2,67.4,67.4,0.003,0.003,1,70.5,9,1
"15603",2026-09-02,4.9,13.6,34,0.003,0.221,0,38.9,0.1,1
"15604",2026-09-02,6.9,23.1,61.5,0.004,0.214,0,68.4,2.6,1
"15617",2026-09-02,2.6,1.9,1.9,0.005,0.005,1,4.5,2.1,1
